0.13, 0, 0, 5, 0.1028533, 0, 1002.413, -2811.316, -2.961042, 0.001233003, 0.03962206, 41.79023, 0.8711591, 0.6355324, 0.2288172
0.3599999, 0.1313114, -0.1436302, 5, 0.09932914, 0.2887616669714228008005452697, 8399.93, -2879.628, -2.961042, 0.001233003, 0.03962206, 121.0701, 0.8555334, 0.6257445, 0.2354038
 
0.3699999, 0.2132367, -0.142317, 5, 0.09926403, 0.2607643025126235210954373308, 8879.058, -2882.662, -2.961042, 0.001233003, 0.03962206, 124.4816, 0.8569717, 0.6253189, 0.2356902
 
0.3799999, 0.2943366, -0.1401847, 5, 0.09919692, 0.2340910973437231754126301967, 9370.936, -2885.7, -2.961042, 0.001233003, 0.03962206, 127.8901, 0.8583567, 0.6248934, 0.2359766
 
0.3899999, 0.3736421, -0.1372413, 5, 0.09913178, 0.2087645984379665477059513161, 9875.505, -2888.744, -2.961042, 0.001233003, 0.03962206, 131.2954, 0.8596851, 0.6244678, 0.2362629
 
0.3999999, 0.4501026, -0.1335049, 5, 0.099062, 0.1848099334462530700970792867, 10392.7, -2891.792, -2.961042, 0.001233003, 0.03962206, 134.6973, 0.8609538, 0.6240423, 0.2365493
 
0.4099999, 0.5225419, -0.1290039, 5, 0.09901269, 0.1622550823474236226771178918, 10922.66, -2894.847, -2.961042, 0.001233003, 0.03962206, 138.097, 0.8621594, 0.6236167, 0.2368357
 
0.4199999, 0.589841, -0.1237784, 5, 0.09897726, 0.1411253086175190000914326832, 11465.32, -2897.906, -2.961042, 0.001233003, 0.03962206, 141.4945, 0.8632985, 0.6231911, 0.2371221
 
0.4299999, 0.6508507, -0.11788, 5, 0.09894127, 0.1214447348014038252730391514, 12020.64, -2900.971, -2.961042, 0.001233003, 0.03962206, 144.8896, 0.8643683, 0.6227656, 0.2374084
 
0.4399998, 0.704425, -0.1113715, 5, 0.09890604, 0.1032346175334890384851189657, 12588.57, -2904.041, -2.961042, 0.001233003, 0.03962206, 148.2822, 0.8653655, 0.62234, 0.2376948
 
